fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.2,0.25,0.39,16.8,0.028,50.0,228.0,0.99296,3.11,0.52,9.2,6.0
6.4,0.33,0.26,15.6,0.051,49.0,118.0,0.99538,3.12,0.5,9.5,5.0
6.3,0.53,0.16,2.1,0.036,54.0,138.0,0.98856,3.27,0.35,8.9,6.0
7.9,0.25,0.3,5.2,0.043,52.0,173.0,0.9932,3.18,0.51,9.8,6.0
7.2,0.18,0.24,4.4,0.045,53.0,138.0,0.99383,3.4,0.64,12.4,5.0
6.7,0.18,0.24,1.1,0.036,17.0,105.0,0.9942,3.27,0.54,10.0,7.0
7.2,0.39,0.27,5.15,0.053,30.0,149.0,0.9941,3.18,0.57,9.3,6.0
7.4,0.25,0.32,1.6,0.043,52.0,173.0,0.9903,3.14,0.5,9.8,6.0
7.1,0.25,0.49,9.3,0.048,66.0,272.0,0.99334,3.08,0.52,9.1,7.0
7.5,0.25,0.3,1.6,0.043,12.0,65.0,0.9998,3.34,0.51,12.4,6.0
7.9,0.12,0.49,1.5,0.065,32.0,164.0,0.9941,3.18,0.49,9.3,5.0
6.8,0.25,0.53,8.3,0.048,52.0,189.0,0.9937,3.21,0.4,9.5,5.0
6.5,0.24,0.26,1.6,0.032,16.0,104.0,0.994,3.14,0.4,10.7,5.0
6.8,0.22,0.26,13.65,0.044,35.0,228.0,0.99388,3.1,0.4,9.5,7.0
7.1,0.39,0.32,16.8,0.048,50.0,199.0,1.00013,2.96,0.5,9.7,5.0
7.0,0.23,0.21,15.55,0.036,67.0,210.0,0.9928,3.46,0.43,12.4,5.0
7.9,0.23,0.41,1.4,0.051,32.0,164.0,0.9966,3.17,0.39,9.5,7.0
7.6,0.3,0.49,1.4,0.048,21.0,145.0,0.9937,3.01,0.57,9.5,5.0
7.7,0.3,0.91,1.7,0.033,25.0,168.0,0.9903,3.18,0.51,11.7,7.0
5.9,0.18,0.24,1.8,0.023,64.0,134.0,0.98958,3.23,0.42,12.3,6.0
8.3,0.13,0.74,17.85,0.049,67.0,196.0,0.9952,3.04,0.47,9.2,5.0
7.0,0.28,0.39,1.4,0.036,31.0,148.0,0.99084,3.22,0.43,9.2,6.0
7.9,0.3,0.49,8.0,0.039,52.0,183.0,0.9952,3.27,0.3,9.5,5.0
6.7,0.15,0.45,1.4,0.05,23.0,142.0,0.9932,3.39,0.48,11.5,7.0
6.4,0.27,0.45,8.2,0.054,52.0,196.0,0.9979,3.34,0.48,9.5,6.0
6.5,0.24,0.26,1.5,0.173,20.0,142.0,0.9998,3.11,0.5,10.7,7.0
5.4,0.19,0.3,4.7,0.036,41.0,200.0,0.9932,3.14,0.51,9.6,8.0
7.9,0.27,0.45,5.2,0.051,42.0,196.0,0.9977,3.18,0.51,9.3,5.0
6.3,0.25,0.39,1.1,0.036,43.0,117.0,0.9908,3.39,0.41,10.5,7.0
7.6,0.39,0.26,1.6,0.069,6.0,106.0,0.99388,3.35,0.34,10.4,5.0
7.9,0.22,0.32,1.8,0.057,26.0,106.0,0.99636,3.1,0.35,10.3,6.0
7.0,0.16,0.45,6.85,0.211,50.0,228.0,0.99388,3.11,0.55,11.7,6.0
7.2,0.22,0.23,2.1,0.023,30.0,124.0,0.9895,3.18,0.54,9.3,6.0
5.9,0.35,0.28,8.4,0.051,37.0,213.0,0.9961,3.29,0.42,9.5,8.0
6.1,0.42,0.24,1.9,0.032,16.0,104.0,0.9941,3.28,0.32,10.4,6.0
6.6,0.25,0.3,14.0,0.038,49.0,118.0,0.9979,3.1,0.45,10.5,7.0
7.6,0.19,0.39,2.9,0.052,11.0,104.0,0.9949,3.25,0.4,10.4,6.0
5.9,0.18,0.32,3.7,0.045,25.0,151.0,0.9963,3.08,0.51,9.0,6.0
6.7,0.34,0.28,16.8,0.032,49.0,118.0,0.9893,3.07,0.4,9.5,6.0
7.5,0.47,0.26,5.7,0.147,17.0,143.0,0.9911,3.14,0.47,12.2,5.0
6.7,0.23,0.33,1.0,0.037,22.0,132.0,0.99164,3.28,0.45,10.8,6.0
7.5,0.12,0.3,1.0,0.039,23.0,122.0,0.9908,3.25,0.47,10.7,6.0
6.4,0.16,0.32,7.9,0.044,52.0,209.0,0.9932,3.11,0.75,9.5,6.0
6.3,0.25,0.14,1.4,0.043,49.0,118.0,0.9949,3.38,0.51,10.5,7.0
7.6,0.32,0.45,5.2,0.051,33.0,151.0,0.9976,3.18,0.45,10.6,7.0
7.4,0.35,0.42,10.6,0.12,41.0,107.0,0.99527,3.12,0.47,10.3,5.0
7.2,0.25,0.3,15.1,0.043,55.0,173.0,0.9934,3.04,0.51,12.4,5.0
6.3,0.25,0.33,7.9,0.032,54.0,173.0,0.99334,3.29,0.42,11.1,5.0
7.6,0.29,0.91,7.7,0.045,54.0,180.0,0.9941,3.09,0.59,9.5,5.0
8.7,0.25,0.39,1.6,0.032,41.0,200.0,0.9932,3.25,0.42,9.2,5.0
7.9,0.4,0.4,5.2,0.049,23.0,116.0,0.99388,3.18,0.39,10.8,4.0
6.1,0.27,0.24,15.55,0.045,55.0,122.0,0.9895,3.28,0.54,11.1,7.0
7.4,0.22,0.32,2.4,0.043,26.0,108.0,0.99382,3.17,0.5,11.1,6.0
7.4,0.27,0.31,1.8,0.047,21.0,106.0,0.993,3.01,0.32,10.5,7.0
7.2,0.28,0.24,1.1,0.028,38.0,124.0,0.9914,3.27,0.74,12.9,7.0
6.2,0.16,0.3,2.2,0.03,30.0,124.0,0.99394,2.87,0.51,9.2,6.0
6.3,0.27,0.44,8.2,0.047,53.0,189.0,0.9929,3.25,0.47,9.4,8.0
7.0,0.29,0.21,1.1,0.034,13.0,132.0,0.99334,3.07,0.54,9.3,7.0
8.3,0.18,0.26,5.15,0.042,20.0,117.0,0.99555,3.2,0.35,10.5,5.0
7.6,0.105,0.29,4.5,0.035,49.0,159.0,0.99142,3.17,0.55,10.2,7.0
7.0,0.32,0.34,1.5,0.044,21.0,106.0,0.99184,3.46,0.6,10.8,5.0
7.5,0.28,0.28,1.6,0.032,36.0,99.0,0.9898,3.34,0.4,10.7,4.0
7.6,0.39,0.26,5.4,0.053,30.0,124.0,0.99188,3.4,0.6,12.4,5.0
6.4,0.3,0.49,1.6,0.034,21.0,95.0,0.992,3.25,0.42,9.8,7.0
6.1,0.2,0.49,1.6,0.047,22.0,84.0,0.99434,3.15,0.58,10.5,5.0
6.3,0.28,0.39,1.6,0.028,25.0,142.0,0.9937,3.1,0.46,10.7,7.0
7.6,0.25,0.33,1.4,0.057,21.0,145.0,0.9981,3.27,0.52,9.3,6.0
7.6,0.38,0.26,1.6,0.053,26.0,108.0,0.9988,3.18,0.6,10.4,7.0
6.2,0.285,0.26,10.3,0.041,16.0,104.0,0.9941,3.17,0.54,11.7,6.0
6.9,0.3,0.49,5.2,0.049,41.0,146.0,0.9988,3.18,0.47,9.0,5.0
6.4,0.27,0.26,2.4,0.054,52.0,165.0,0.99699,3.15,0.4,10.7,6.0
7.6,0.31,0.14,14.0,0.043,23.0,132.0,0.99658,2.99,0.54,9.3,5.0
6.7,0.16,0.37,4.7,0.044,57.0,161.0,0.9942,3.28,0.74,10.1,5.0
6.0,0.29,0.21,1.1,0.033,20.0,142.0,0.9937,3.07,0.54,10.0,7.0
6.4,0.29,0.29,1.5,0.045,21.0,105.0,0.9932,3.14,0.54,10.7,7.0
5.2,0.23,0.21,5.3,0.035,27.0,91.0,0.99388,3.36,0.33,10.7,6.0
7.5,0.23,0.26,7.8,0.037,61.0,209.0,0.9911,3.14,0.5,11.1,5.0
6.9,0.27,0.34,16.8,0.051,52.0,200.0,0.99699,3.11,0.6,9.5,6.0
8.3,0.29,0.29,5.4,0.045,24.0,152.0,0.9937,3.09,0.39,10.4,5.0
7.6,0.25,0.39,5.4,0.028,49.0,159.0,0.9938,3.5,0.6,9.7,6.0
6.7,0.32,0.26,1.4,0.025,26.0,106.0,0.993,3.11,0.5,11.5,7.0
6.8,0.12,0.45,1.4,0.12,28.0,100.0,0.99636,3.11,0.35,9.3,7.0
6.1,0.25,0.39,1.6,0.032,26.0,106.0,0.992,3.22,0.42,10.5,8.0
7.2,0.27,0.33,1.5,0.057,26.0,168.0,0.9928,3.38,0.48,9.7,6.0
6.7,0.25,0.39,11.8,0.05,32.0,134.0,0.9916,3.07,0.48,9.5,5.0
7.7,0.17,0.28,4.7,0.03,9.3,117.0,0.99388,3.32,0.36,12.2,7.0
7.6,0.19,0.91,8.3,0.043,28.0,124.0,0.992,3.42,0.54,10.4,6.0
6.8,0.67,0.26,6.4,0.053,41.0,200.0,0.9963,3.11,0.5,9.5,5.0
7.1,0.17,0.32,10.1,0.033,26.0,168.0,0.99684,3.38,0.51,9.3,5.0
8.3,0.22,0.26,10.6,0.054,37.0,151.0,0.99534,3.14,0.5,9.4,5.0
6.4,0.19,0.34,1.7,0.036,44.0,140.0,0.99059,3.11,0.47,10.7,6.0
8.3,0.3,0.49,9.7,0.036,20.0,143.0,0.9942,3.14,0.49,10.1,6.0
7.6,0.27,0.26,8.3,0.053,53.0,180.0,0.99787,3.14,0.48,9.6,6.0
7.2,0.17,0.26,1.4,0.048,41.0,107.0,0.9937,3.21,0.5,10.8,5.0
7.1,0.16,0.37,1.6,0.044,74.0,184.0,0.992,3.42,0.74,9.3,5.0
5.9,0.32,0.49,1.1,0.036,34.0,128.0,0.9898,3.29,0.42,12.0,8.0
7.4,0.16,0.39,1.3,0.034,11.0,124.0,0.9908,3.25,0.35,10.8,6.0
7.0,0.18,0.34,1.5,0.043,41.0,107.0,0.99658,3.21,0.5,10.4,6.0
8.1,0.19,0.19,10.3,0.046,33.0,151.0,0.9963,3.0,0.66,9.5,5.0
7.0,0.27,0.34,1.8,0.029,30.0,124.0,0.9914,2.98,0.48,11.1,7.0
6.7,0.15,0.29,1.4,0.028,47.0,146.0,0.99388,3.03,0.66,10.5,6.0
7.6,0.22,0.35,10.3,0.041,36.0,99.0,0.993,3.11,0.33,9.4,5.0
7.4,0.16,0.53,15.6,0.053,27.0,91.0,0.9903,3.29,0.6,9.4,5.0
7.6,0.14,0.29,1.4,0.034,53.0,138.0,0.9988,3.28,0.35,9.5,5.0
7.4,0.15,0.31,1.3,0.053,66.0,272.0,0.9988,3.18,0.35,10.5,7.0
6.9,0.17,0.74,13.65,0.038,52.0,187.0,0.9939,3.46,0.47,9.5,6.0
6.4,0.67,0.27,10.6,0.05,37.0,151.0,0.9937,3.11,0.51,9.4,6.0
5.9,0.39,0.26,8.2,0.058,32.0,164.0,0.9979,3.18,0.6,9.5,7.0
6.4,0.105,0.26,2.4,0.035,37.0,151.0,0.99178,3.15,0.55,9.7,5.0
7.7,0.3,0.49,10.8,0.028,61.0,209.0,0.9966,3.14,0.39,9.8,5.0
6.9,0.25,0.41,7.9,0.036,54.0,173.0,0.99142,3.29,0.39,10.8,6.0
8.3,0.23,0.23,5.2,0.03,61.0,209.0,0.9911,3.35,0.48,11.1,5.0
7.0,0.28,0.34,2.7,0.042,17.0,105.0,0.99658,3.1,0.4,9.5,5.0
6.4,0.16,0.35,1.4,0.036,36.0,120.0,0.9937,3.38,0.64,11.5,7.0
6.9,0.285,0.29,7.9,0.028,47.0,146.0,0.9908,3.14,0.35,10.8,6.0
6.8,0.35,0.26,1.4,0.032,23.0,122.0,0.99394,3.12,0.43,9.3,6.0
7.4,0.19,0.26,12.6,0.051,67.0,210.0,0.99538,3.0,0.5,9.5,5.0
7.6,0.25,0.33,10.6,0.053,54.0,173.0,0.99784,3.04,0.6,9.4,5.0
6.4,0.16,0.21,10.8,0.041,35.0,228.0,0.9961,3.13,0.55,9.8,7.0
6.4,0.25,0.34,1.6,0.174,47.0,182.0,0.9946,3.4,0.5,10.5,6.0
6.4,0.18,0.49,1.6,0.047,41.0,200.0,0.9963,3.09,0.47,9.5,5.0
7.5,0.32,0.26,10.3,0.045,55.0,149.0,0.99434,3.14,0.47,10.7,6.0
7.0,0.25,0.33,2.1,0.043,54.0,173.0,0.99216,3.04,0.5,9.7,5.0
8.3,0.27,0.26,5.4,0.044,30.0,149.0,0.99437,3.42,0.46,9.5,5.0
6.3,0.19,0.26,2.1,0.033,61.0,209.0,0.99109,3.53,0.66,11.0,7.0
7.4,0.33,0.32,15.55,0.034,52.0,189.0,0.99684,3.18,0.38,8.9,5.0
7.4,0.29,0.29,1.4,0.036,21.0,145.0,0.99555,3.4,0.35,9.5,7.0
5.9,0.27,0.34,1.4,0.057,16.0,111.0,0.9932,3.23,0.48,10.0,7.0
7.6,0.18,0.39,4.7,0.043,21.0,145.0,0.9932,3.25,0.5,10.5,5.0
7.1,0.28,0.39,1.6,0.028,53.0,138.0,0.9898,3.25,0.4,10.1,6.0
7.5,0.18,0.14,1.5,0.043,21.0,106.0,0.99388,3.17,0.51,10.7,6.0
7.6,0.16,0.49,1.4,0.049,43.0,117.0,0.9937,3.52,0.47,9.3,7.0
5.9,0.32,0.29,22.6,0.048,52.0,189.0,0.9911,3.17,0.35,9.2,6.0
7.9,0.16,0.26,7.8,0.053,53.0,180.0,0.99636,3.14,0.35,9.4,5.0
6.3,0.3,0.49,1.6,0.049,61.0,134.0,0.994,3.3,0.49,10.7,7.0
7.1,0.18,0.24,1.8,0.023,26.0,168.0,0.9893,3.18,0.54,10.2,7.0
7.1,0.3,0.49,1.1,0.036,74.0,184.0,0.9908,3.29,0.42,11.1,7.0
7.5,0.25,0.32,1.4,0.047,53.0,180.0,0.99059,3.02,0.47,9.7,6.0
6.4,0.27,0.26,6.8,0.053,74.0,184.0,0.99699,3.22,0.6,11.1,5.0
6.7,0.18,0.34,1.4,0.042,36.0,122.0,0.99784,3.29,0.4,11.5,7.0
6.2,0.24,0.24,1.1,0.034,53.0,138.0,0.9942,3.22,0.54,10.8,6.0
6.3,0.19,0.49,1.6,0.036,53.0,138.0,0.9929,3.53,0.42,10.7,6.0
6.8,0.27,0.33,1.6,0.043,25.0,109.0,0.9941,3.11,0.43,10.5,7.0
7.0,0.16,0.26,6.85,0.033,21.0,105.0,0.99622,3.38,0.58,10.1,6.0
6.4,0.17,0.32,8.2,0.057,28.0,100.0,0.9934,3.04,0.48,9.5,6.0
5.1,0.27,0.28,1.4,0.047,21.0,106.0,0.99334,2.92,0.47,10.5,8.0
6.3,0.23,0.14,1.4,0.034,54.0,166.0,0.993,3.36,0.3,9.5,6.0
7.4,0.23,0.32,1.6,0.045,16.0,104.0,0.99288,2.99,0.4,10.7,7.0
6.6,0.12,0.3,1.4,0.048,47.0,146.0,0.99383,3.42,0.51,10.1,5.0
8.3,0.26,0.86,16.8,0.174,52.0,189.0,0.99288,2.99,0.5,13.0,8.0
6.3,0.3,0.34,9.7,0.049,54.0,134.0,0.994,3.14,0.47,9.3,6.0
7.0,0.16,0.45,10.3,0.053,26.0,108.0,0.9937,3.26,0.48,9.5,6.0
5.7,0.18,0.3,1.4,0.045,21.0,145.0,0.9966,3.07,0.51,9.5,8.0
6.4,0.18,0.7,1.4,0.043,23.0,132.0,0.9963,3.11,0.5,9.5,5.0
6.4,0.67,0.26,5.1,0.047,37.0,124.0,0.99622,3.11,0.58,12.6,4.0
6.0,0.23,0.23,0.8,0.047,29.0,86.0,0.992,3.26,0.32,10.0,7.0
6.4,0.32,0.26,14.2,0.053,74.0,184.0,0.99538,3.12,0.6,9.2,6.0
5.9,0.2,0.35,2.4,0.086,41.0,200.0,0.9963,3.29,0.42,9.5,8.0
8.3,0.27,0.36,5.4,0.051,26.0,108.0,0.99142,3.18,0.47,10.5,6.0
6.3,0.46,0.23,2.7,0.047,26.0,168.0,0.99261,3.11,0.54,12.3,5.0
7.7,0.3,0.49,2.1,0.049,14.0,132.0,0.994,3.3,0.49,9.2,5.0
7.5,0.32,0.49,5.7,0.053,52.0,173.0,0.99184,3.29,0.6,9.2,4.0
6.3,0.67,0.45,11.6,0.074,52.0,189.0,0.9937,3.11,0.47,9.2,5.0
7.1,0.3,0.3,1.9,0.065,52.0,173.0,0.9887,3.36,0.3,9.1,5.0
6.6,0.24,0.26,5.4,0.048,67.0,210.0,0.99278,3.17,0.5,9.4,7.0
7.6,0.26,0.36,1.4,0.045,66.0,272.0,0.9963,2.99,0.5,11.7,7.0
6.3,0.3,0.26,5.3,0.032,53.0,180.0,0.992,3.23,0.42,9.2,5.0
6.3,0.17,0.34,8.2,0.047,50.0,199.0,0.9949,3.52,0.47,9.5,6.0
7.0,0.24,0.29,14.35,0.058,49.0,192.0,0.9979,3.07,0.48,9.7,5.0
7.7,0.25,0.14,1.5,0.043,42.0,140.0,0.9932,3.02,0.51,9.5,5.0
6.4,0.14,0.32,1.4,0.031,44.0,140.0,0.99184,3.28,0.35,11.5,7.0
5.9,0.19,0.26,12.3,0.053,34.0,134.0,0.9942,3.53,0.55,10.5,8.0
6.9,0.33,0.26,1.5,0.048,41.0,200.0,0.9936,3.1,0.5,9.7,6.0
6.1,0.27,0.39,1.7,0.033,26.0,168.0,0.9928,3.53,0.48,12.2,6.0
6.0,0.17,0.25,10.0,0.057,61.0,134.0,0.99532,3.22,0.42,10.0,6.0
7.4,0.17,0.41,1.3,0.047,41.0,107.0,0.99383,3.04,0.64,11.1,7.0
5.7,0.18,0.34,5.4,0.042,61.0,209.0,0.99096,3.27,0.4,12.2,8.0
7.2,0.27,0.45,10.1,0.053,37.0,151.0,0.99784,3.07,0.48,9.5,6.0
8.3,0.39,0.26,7.9,0.051,49.0,213.0,0.9946,3.27,0.48,9.5,5.0
6.8,0.35,0.21,14.0,0.043,49.0,192.0,0.994,3.11,0.47,9.5,5.0
6.1,0.39,0.34,1.6,0.044,16.0,99.0,0.99184,3.38,0.6,11.5,5.0
7.9,0.19,0.49,1.8,0.028,34.0,128.0,0.994,3.42,0.66,11.5,7.0
7.0,0.3,0.49,1.6,0.049,26.0,132.0,0.9988,3.29,0.47,9.2,5.0
6.3,0.22,0.49,10.6,0.057,20.0,142.0,0.9963,3.01,0.42,9.2,5.0
6.3,0.23,0.35,1.4,0.023,36.0,122.0,0.99178,3.18,0.7,10.7,6.0
7.6,0.24,0.26,9.7,0.053,50.0,199.0,0.99527,3.38,0.55,9.5,5.0
5.5,0.19,0.24,1.6,0.047,35.0,169.0,0.99784,3.38,0.66,10.7,8.0
7.4,0.27,0.26,2.4,0.054,40.0,121.0,0.99184,3.35,0.6,11.5,5.0
5.9,0.28,0.24,12.3,0.052,27.0,91.0,0.9941,3.11,0.4,10.5,7.0
7.6,0.25,0.39,1.4,0.036,37.0,122.0,0.9936,3.3,0.48,10.5,7.0
7.6,0.18,0.26,1.6,0.043,47.0,213.0,0.9941,3.3,0.5,10.4,5.0
6.6,0.24,0.26,6.4,0.056,49.0,159.0,0.9942,3.15,0.6,13.2,6.0
6.4,0.53,0.26,9.5,0.062,52.0,196.0,0.9966,3.38,0.37,9.3,5.0
6.8,0.3,0.39,1.8,0.028,28.0,100.0,0.9914,3.21,0.5,9.4,6.0
7.3,0.25,0.49,10.5,0.048,37.0,146.0,0.9941,3.09,0.4,11.4,7.0
6.0,0.22,0.23,9.5,0.036,61.0,134.0,0.99546,2.94,0.35,10.0,5.0
7.9,0.22,0.24,5.2,0.052,53.0,183.0,0.99261,3.18,0.47,10.3,6.0
6.7,0.25,0.41,1.6,0.033,53.0,138.0,0.9936,3.1,0.51,9.3,6.0
7.0,0.3,0.26,5.9,0.036,34.0,128.0,0.9942,3.16,0.39,12.8,5.0
7.6,0.16,0.44,1.4,0.043,53.0,180.0,0.99296,3.42,0.5,9.3,6.0
7.3,0.29,0.45,1.6,0.054,30.0,138.0,0.9937,3.29,0.39,11.5,7.0
6.4,0.29,0.7,10.3,0.036,47.0,146.0,0.99383,3.4,0.57,10.7,6.0
6.4,0.12,0.32,13.5,0.043,33.0,169.0,0.9976,3.18,0.47,8.9,6.0
7.4,0.28,0.35,1.6,0.034,56.0,115.0,0.9972,3.25,0.4,11.5,6.0
6.0,0.27,0.27,1.1,0.048,32.0,134.0,0.9936,3.07,0.51,10.5,6.0
7.9,0.67,0.39,5.2,0.056,40.0,126.0,0.9972,3.18,0.6,9.6,5.0
6.4,0.22,0.39,1.0,0.036,20.0,138.0,0.99699,3.38,0.57,11.5,6.0
7.2,0.34,0.26,1.4,0.174,21.0,106.0,0.99382,3.17,0.5,11.5,5.0
7.7,0.29,0.16,8.3,0.045,53.0,182.0,0.99096,3.09,0.54,11.5,6.0
6.3,0.3,0.41,4.4,0.037,10.0,122.0,0.9998,3.14,0.39,10.2,6.0
7.6,0.27,0.28,10.3,0.042,30.0,149.0,0.99388,3.17,0.42,10.4,6.0
6.1,0.3,0.44,1.5,0.043,23.0,122.0,0.99261,3.18,0.47,12.8,5.0
6.3,0.24,0.26,1.8,0.028,36.0,122.0,0.9963,3.29,0.52,10.5,7.0
6.4,0.25,0.33,9.3,0.074,54.0,173.0,0.9963,3.04,0.41,9.5,4.0
5.5,0.12,0.36,12.3,0.051,33.0,169.0,0.9979,3.13,0.45,8.9,7.0
7.4,0.3,0.49,1.4,0.048,26.0,168.0,0.99084,3.31,0.47,10.5,7.0
6.4,0.27,0.34,2.4,0.058,52.0,196.0,0.9979,3.05,0.48,9.5,7.0
7.6,0.32,0.26,6.4,0.053,47.0,146.0,0.9949,3.18,0.6,9.4,6.0
6.0,0.18,0.19,1.5,0.043,18.0,69.0,0.99184,3.27,0.54,10.7,6.0
7.4,0.24,0.35,11.6,0.03,31.0,115.0,0.992,3.14,0.32,9.3,5.0
7.4,0.25,0.41,1.2,0.048,18.0,69.0,0.9946,3.09,0.59,10.7,7.0
7.9,0.3,0.45,1.4,0.049,52.0,173.0,0.9963,3.18,0.47,9.8,5.0
7.7,0.3,0.39,1.6,0.032,23.0,122.0,0.9938,3.25,0.49,9.4,7.0
6.4,0.2,0.33,1.6,0.032,23.0,142.0,0.9961,3.25,0.4,10.8,7.0
7.4,0.18,0.26,14.35,0.033,50.0,199.0,0.9949,3.53,0.47,9.7,5.0
6.4,0.17,0.26,1.5,0.053,41.0,200.0,0.99534,3.32,0.5,9.8,5.0
6.4,0.27,0.26,1.1,0.036,41.0,107.0,0.9916,3.25,0.48,10.8,7.0
6.7,0.18,0.29,5.2,0.045,20.0,159.0,0.9942,3.14,0.59,10.3,6.0
7.0,0.18,0.21,1.2,0.043,16.0,111.0,0.9963,3.04,0.47,10.7,6.0
6.1,0.3,0.91,1.8,0.033,34.0,121.0,0.99059,3.38,0.47,10.1,7.0
7.1,0.27,0.32,1.5,0.03,42.0,140.0,0.99388,3.17,0.36,10.7,5.0
7.7,0.25,0.21,1.4,0.036,53.0,173.0,0.99084,3.14,0.32,10.1,6.0
7.9,0.3,0.45,11.8,0.037,52.0,187.0,0.99555,3.1,0.45,9.8,6.0
7.7,0.23,0.25,4.5,0.035,41.0,107.0,0.99382,3.36,0.33,10.1,4.0
7.0,0.18,0.32,5.2,0.046,16.0,105.0,0.99184,3.18,0.66,10.8,6.0
7.9,0.25,0.45,5.2,0.058,24.0,132.0,0.99636,3.18,0.35,9.5,6.0
7.6,0.3,0.34,1.5,0.034,11.0,132.0,0.994,3.11,0.49,9.3,6.0
8.3,0.3,0.91,15.55,0.033,30.0,124.0,0.99658,3.18,0.47,9.1,5.0
5.9,0.25,0.49,10.6,0.048,67.0,210.0,0.9942,3.29,0.6,11.2,8.0
6.7,0.25,0.29,1.1,0.036,41.0,107.0,0.99394,3.28,0.36,10.7,6.0
6.7,0.28,0.38,10.3,0.054,50.0,199.0,0.9936,3.05,0.47,9.4,6.0
7.0,0.17,0.32,1.5,0.044,29.0,142.0,0.99784,3.12,0.47,9.0,6.0
6.2,0.16,0.35,1.6,0.058,43.0,117.0,0.9941,3.27,0.39,9.5,6.0
6.2,0.25,0.49,1.6,0.047,52.0,165.0,0.9937,3.17,0.52,9.2,7.0
7.6,0.35,0.86,4.4,0.174,57.0,161.0,0.9972,2.99,0.4,11.1,6.0
6.8,0.22,0.45,14.2,0.211,49.0,196.0,0.9963,3.09,0.4,9.5,6.0
7.6,0.23,0.49,3.4,0.038,37.0,151.0,0.9961,3.29,0.3,10.2,7.0
7.9,0.3,0.32,9.5,0.039,49.0,226.0,0.9942,3.25,0.39,9.7,6.0
7.9,0.16,0.74,9.3,0.065,52.0,187.0,0.9937,3.04,0.47,9.5,5.0
7.9,0.29,0.41,7.9,0.048,30.0,149.0,0.9977,2.99,0.59,11.0,6.0
7.2,0.25,0.29,4.7,0.036,9.0,117.0,0.9908,3.16,0.34,10.6,7.0
7.6,0.18,0.26,1.5,0.043,26.0,106.0,0.99388,3.25,0.4,10.4,5.0
6.9,0.35,0.24,5.8,0.028,35.0,169.0,0.99288,3.11,0.4,10.2,6.0
6.6,0.2,0.34,1.6,0.036,43.0,117.0,0.993,3.11,0.5,9.2,5.0
7.4,0.32,0.38,8.4,0.054,49.0,192.0,0.9963,3.07,0.35,9.5,7.0
6.8,0.25,0.32,12.4,0.036,50.0,228.0,0.9908,3.22,0.48,9.8,6.0
7.1,0.27,0.26,1.3,0.03,38.0,124.0,0.9932,3.1,0.43,10.2,6.0
6.7,0.26,0.24,1.0,0.044,54.0,173.0,0.992,3.14,0.42,9.5,7.0
6.3,0.27,0.28,5.1,0.053,37.0,151.0,0.9955,3.52,0.47,9.5,6.0
7.6,0.16,0.37,1.4,0.048,52.0,183.0,0.99288,3.25,0.5,9.3,6.0
7.7,0.26,0.36,5.3,0.053,52.0,187.0,0.9963,3.07,0.4,9.5,4.0
5.9,0.26,0.32,1.5,0.031,24.0,151.0,0.99334,3.03,0.41,12.0,6.0
5.1,0.23,0.33,7.8,0.035,24.0,151.0,0.9911,3.36,0.33,9.5,6.0
8.0,0.39,0.32,1.6,0.041,55.0,173.0,0.99784,3.17,0.6,11.7,5.0
6.4,0.19,0.28,1.6,0.043,9.0,116.0,0.9932,3.14,0.66,9.5,4.0
7.6,0.17,0.3,1.4,0.048,26.0,106.0,0.9937,3.21,0.51,10.2,6.0
6.2,0.24,0.28,7.9,0.03,23.0,122.0,0.99261,3.2,0.39,10.8,4.0
6.4,0.17,0.26,1.5,0.048,52.0,187.0,0.9963,3.31,0.51,9.2,7.0
8.3,0.67,0.3,5.2,0.028,25.0,168.0,0.99382,3.24,0.51,11.0,5.0
7.0,0.33,0.29,5.0,0.036,32.0,164.0,0.99514,3.26,0.5,12.4,5.0
7.2,0.18,0.26,1.5,0.045,30.0,142.0,0.9939,3.53,0.64,11.4,6.0
5.9,0.27,0.29,10.8,0.036,36.0,99.0,0.99288,3.29,0.41,9.0,8.0
8.3,0.25,0.29,6.9,0.052,16.0,111.0,0.9977,3.22,0.54,10.5,5.0
5.9,0.32,0.28,12.6,0.043,34.0,134.0,0.9966,3.09,0.45,13.0,5.0
7.1,0.23,0.49,1.6,0.047,26.0,168.0,0.993,3.52,0.47,9.1,6.0
7.1,0.24,0.29,4.7,0.045,29.0,86.0,0.99216,3.14,0.32,9.5,4.0
7.0,0.17,0.25,1.4,0.057,47.0,183.0,0.9952,3.36,0.51,9.5,6.0
6.4,0.3,0.4,1.0,0.036,9.0,117.0,0.9911,3.31,0.39,10.7,7.0
6.7,0.25,0.29,2.2,0.048,11.0,138.0,0.99278,3.03,0.54,10.5,7.0
7.2,0.28,0.35,1.6,0.046,53.0,138.0,0.9946,3.04,0.46,11.2,6.0
7.9,0.67,0.39,4.7,0.054,24.0,151.0,0.99168,3.32,0.6,10.5,7.0
7.1,0.3,0.34,1.4,0.036,36.0,124.0,0.99084,3.19,0.39,9.5,7.0
7.1,0.22,0.34,1.3,0.038,20.0,119.0,0.9893,3.29,0.7,10.1,7.0
6.7,0.4,0.36,1.6,0.044,16.0,104.0,0.9914,3.27,0.4,10.9666666666667,6.0
